#{"t_start": 1781467182.6173284, "env_id": "None"}
r,l,t
-37.299159,288,3.553354
-11.640031,288,3.752114
-15.411769,288,3.941302
28.835043,288,9.949529
29.341884,288,21.135253
25.188606,288,31.535486
64.223736,288,42.177301
67.237588,288,52.74659
50.92617,288,63.069728
56.335883,288,73.324651
66.704098,288,83.85147
49.804741,288,94.319109
16.773683,288,104.893082
71.854222,288,115.394246
35.774467,288,125.808103
143.35577,288,136.329232
32.675865,288,146.87795
59.207586,288,161.916272
29.560759,288,172.406427
84.559417,288,182.994792
37.467943,288,193.496973
118.079574,288,203.996904
61.546378,288,214.561258
82.923862,288,225.364276
107.43068,288,235.956502
54.31927,288,246.540416
64.631872,288,257.008609
71.353321,288,269.882536
60.582963,288,280.658386
33.478645,288,291.01792
73.620335,288,301.810358
50.23657,288,312.296541
29.258212,288,322.558796
87.472332,288,332.776361
41.986064,288,347.086745
76.814878,288,357.274111
55.369657,288,367.529518
184.71188,288,377.921143
87.251752,288,388.146022
44.127707,288,398.421737
126.674215,288,408.672248
64.892885,288,418.91802
67.225442,288,429.276606
98.86449,288,439.880045
45.123587,288,450.306097
129.013707,288,460.789434
179.001488,288,471.279429
45.498864,288,481.552042
151.210099,288,491.716165
42.275499,288,502.299212
58.319283,288,512.94431
66.962654,288,523.612356
102.362778,288,538.412689
103.478085,288,549.113275
96.192878,288,559.798994
48.456863,288,570.807897
36.131497,288,581.448664
41.108272,288,592.096083
130.267834,288,602.735252
79.6971,288,613.412587
55.747547,288,624.083196
53.08877,288,634.687822
86.780746,288,645.273459
49.586173,288,655.83262
94.398541,288,666.312833
108.109784,288,676.882509
91.181872,288,687.412018
80.319987,288,698.548074
122.594758,288,710.218563
99.405984,288,726.884055
122.630656,288,739.908836
195.577911,288,752.574916
75.506848,288,763.908909
145.877902,288,774.543287
8.213602,288,785.080049
84.085514,288,795.759305
32.719891,288,806.461569
92.132782,288,817.245927
32.244973,288,827.896376
196.696202,288,838.469572
69.521458,288,849.06144
75.870796,288,859.720256
83.001021,288,871.974415
178.734998,288,883.05782
169.049347,288,893.841713
86.418447,288,904.540625
59.932466,288,918.430205
63.98594,288,928.964601
83.874397,288,939.524787
43.205152,288,950.058271
94.716539,288,960.603269
97.435593,288,971.148267
138.237906,288,981.500416
119.819902,288,991.809022
142.462026,288,1002.112253
98.269903,288,1012.351434
110.752294,288,1022.634454
56.671777,288,1033.087793
133.514945,288,1043.506407
46.337513,288,1053.954706
90.002977,288,1064.367907
67.260548,288,1074.707497
56.396493,288,1085.116586
62.676921,288,1095.675353
18.798331,288,1112.04195
79.724428,288,1123.46792
88.640583,288,1134.122411
