#{"t_start": 1781266013.9483087, "env_id": "None"}
r,l,t
-69.965906,288,4.914605
56.640352,288,5.815736
-16.02569,288,6.56089
26.609903,288,7.267526
11.376811,288,7.984569
1.208243,288,8.680698
13.984653,288,9.383663
-3.852951,288,14.81588
-13.884801,288,15.473549
-35.470713,288,16.186839
19.122142,288,17.049344
31.98086,288,17.72963
-6.373267,288,18.383152
50.277823,288,19.042945
54.194559,288,29.3744
47.120636,288,30.045215
-16.725268,288,30.709386
-8.03666,288,31.486479
50.819066,288,32.191845
3.542664,288,32.847282
47.234824,288,33.498867
41.572859,288,38.99846
13.636187,288,39.664337
110.545812,288,40.330314
63.38023,288,40.991373
107.295528,288,41.64823
39.014802,288,42.304279
28.659852,288,42.976061
52.998928,288,53.042371
65.3372,288,53.61381
74.918595,288,54.190282
55.549907,288,54.75567
57.151645,288,55.329009
88.366668,288,55.901563
133.415388,288,56.474054
41.465924,288,62.005873
17.535131,288,62.66544
133.220672,288,63.32419
37.912397,288,63.987621
25.927318,288,64.645113
151.898967,288,65.30703
91.275407,288,65.964227
55.129159,288,76.350635
123.989179,288,77.009424
87.886958,288,77.671495
90.7252,288,78.338928
65.024097,288,78.995703
87.783354,288,79.644194
36.613584,288,80.304057
104.150032,288,85.901102
54.649019,288,86.649436
166.49619,288,87.382168
74.698782,288,88.238013
146.611159,288,88.951201
63.392652,288,89.631672
86.508919,288,90.319578
76.3029,288,100.750205
74.924557,288,101.421084
68.815854,288,102.098492
60.747675,288,102.887456
44.601935,288,103.573057
29.318329,288,104.231289
128.828796,288,104.884027
162.198643,288,105.550376
162.073903,288,110.929986
101.906454,288,111.580621
24.87967,288,112.221597
73.020726,288,112.867415
157.462973,288,113.505946
48.799981,288,114.15678
95.951864,288,114.917358
82.250565,288,124.959413
146.733853,288,125.663325
72.781094,288,126.423399
53.300955,288,127.061761
93.51123,288,127.714982
63.130702,288,128.37726
40.999334,288,129.021378
154.047747,288,134.398754
155.497335,288,135.036902
106.711431,288,135.68183
92.84198,288,136.318006
181.911633,288,137.106367
92.277031,288,137.782346
136.294792,288,138.429672
58.903959,288,148.358851
166.381769,288,149.016268
92.151678,288,149.665038
69.251304,288,150.387739
84.304228,288,151.126358
64.133604,288,151.779364
101.291819,288,152.424504
70.877229,288,157.679948
67.412106,288,158.327758
57.150313,288,158.977698
88.878626,288,159.621194
79.350981,288,160.268682
48.997584,288,160.914029
116.063212,288,161.563566
134.564618,288,171.652574
134.962368,288,172.330671
62.678646,288,172.988395
107.299751,288,173.640838
78.285314,288,174.288326
120.05579,288,174.94067
92.177094,288,175.592646
28.85185,288,180.969593
