#{"t_start": 1781203067.3399038, "env_id": "None"}
r,l,t
-80.265729,288,3.378297
-138.080615,288,3.583636
-251.479298,288,3.779502
-118.82148,288,10.118847
56.316831,288,21.407467
325.25265,288,32.782817
112.688999,288,44.415607
200.781159,288,56.325653
26.482706,288,67.641703
226.236823,288,79.130308
95.934799,288,90.701688
10.341237,288,102.178894
35.353356,288,113.848684
84.646564,288,125.221502
31.962726,288,136.564391
110.533803,288,148.24969
49.761378,288,159.690508
151.972648,288,171.324425
175.413087,288,182.587641
63.981254,288,193.923408
78.40174,288,205.50536
198.665256,288,216.911106
268.564017,288,228.240358
237.015346,288,239.387908
70.886575,288,256.149088
114.561321,288,273.180672
89.238663,288,290.236135
174.695134,288,307.484498
99.613581,288,324.285405
90.450608,288,341.583536
97.743923,288,358.847763
156.577455,288,375.754024
50.004565,288,392.508747
155.734422,288,409.315649
102.360006,288,434.315118
48.76194,288,451.291783
189.349812,288,469.116128
271.017479,288,486.469003
105.770439,288,503.205861
131.53769,288,520.209187
96.492957,288,537.165728
14.407297,288,553.948371
233.884551,288,570.985931
73.29781,288,587.703941
58.585483,288,604.694131
368.074815,288,622.049745
137.488071,288,638.80595
251.763536,288,655.573566
123.409392,288,672.317923
158.450127,288,689.057488
240.451133,288,706.231107
41.614362,288,723.206739
219.511773,288,739.978374
68.723454,288,757.13499
136.054418,288,773.930639
140.760237,288,791.047164
66.296113,288,808.087452
56.93959,288,824.883117
7.6573,288,841.617911
125.815405,288,858.42924
45.853204,288,875.687591
35.887709,288,892.456175
147.538426,288,909.39996
211.905714,288,926.127183
194.495315,288,942.877359
88.906579,288,960.226875
119.667168,288,978.774712
310.627695,288,995.565042
81.321421,288,1012.52508
-24.005005,288,1036.879701
416.095387,288,1053.79995
138.635394,288,1071.672475
6.897948,288,1088.548835
142.641868,288,1105.756615
212.376995,288,1122.508535
205.61184,288,1139.422736
178.060701,288,1156.197296
333.39099,288,1173.441418
99.859149,288,1190.485405
271.736322,288,1207.889913
273.105055,288,1224.918177
282.371154,288,1241.646871
147.848762,288,1258.462264
183.442525,288,1275.268389
87.698391,288,1292.261678
305.29005,288,1309.327769
167.905804,288,1326.103543
90.41506,288,1342.871794
42.823535,288,1359.67164
288.610149,288,1376.705811
319.57872,288,1393.726048
184.273777,288,1410.531875
122.911402,288,1427.314249
31.504335,288,1444.140445
2.157896,288,1460.945463
220.198386,288,1478.434072
298.460901,288,1495.208378
203.17279,288,1512.116633
124.03035,288,1529.029557
135.741789,288,1545.895993
259.75432,288,1563.029214
221.389284,288,1580.320498
64.652374,288,1597.195559
19.183205,288,1613.905959
237.908314,288,1638.396464
203.852193,288,1655.371275
231.592323,288,1673.654438
40.058675,288,1690.382113
41.533012,288,1707.360125
155.237917,288,1724.108005
104.823084,288,1741.134537
60.051462,288,1758.05715
263.224143,288,1774.885042
-27.490067,288,1791.674735
366.725331,288,1808.482175
346.771163,288,1825.72216
252.990192,288,1953.16974
-12.651422,288,1966.897957
3.412078,288,1982.262882
80.737516,288,1996.008181
186.327679,288,2009.768923
83.907497,288,2023.690932
132.33666,288,2040.408424
187.651577,288,2057.105635
161.440936,288,2071.339279
173.164417,288,2088.192628
288.902893,288,2104.892599
-40.597202,288,2120.772223
153.258951,288,2136.557389
132.399243,288,2151.461907
13.930861,288,2167.698152
32.849634,288,2184.569988
285.200352,288,2201.852361
38.25198,288,2215.946357
120.49189,288,2227.617403
340.798791,288,2240.485433
239.124217,288,2256.625895
165.215845,288,2273.812327
262.814427,288,2294.763361
201.20997,288,2310.534014
303.368686,288,2326.756739
261.71883,288,2343.107316
133.13622,288,2356.618662
166.151389,288,2371.519
15.789454,288,2388.901454
299.908172,288,2406.432831
152.285668,288,2426.201555
100.136944,288,2444.555818
67.498787,288,2459.11482
183.023543,288,2472.80167
112.500932,288,2487.343443
