#{"t_start": 1781233309.1446643, "env_id": "None"}
r,l,t
-21.21115,288,0.363913
-3.816495,288,0.521494
-21.919834,288,0.688553
-3.330297,288,6.327387
111.901808,288,16.815112
20.989013,288,28.138836
237.870819,288,38.532893
17.614112,288,48.90362
20.383629,288,59.194907
4.481565,288,69.987443
115.287264,288,80.816121
16.385431,288,91.291775
17.105249,288,101.745708
174.12931,288,112.0856
4.575413,288,122.545025
18.151236,288,133.522833
34.258551,288,143.971991
15.84914,288,154.421266
15.132274,288,164.931563
8.675716,288,175.305601
-49.237798,288,186.154968
8.172779,288,196.758736
18.828866,288,206.841293
135.007794,288,217.513295
210.247403,288,229.192024
23.981938,288,239.920035
61.333259,288,250.313964
48.906234,288,261.082027
37.154293,288,271.414335
41.146761,288,281.814959
31.509071,288,292.425332
33.566287,288,302.881116
286.319576,288,313.561398
-3.60564,288,323.970122
111.038606,288,338.519127
2.823119,288,349.050088
279.024702,288,359.338593
320.639057,288,370.114709
291.062845,288,380.600384
151.713808,288,391.064272
111.570897,288,401.686447
259.923029,288,412.019313
-7.885031,288,422.280822
98.809453,288,432.750887
381.646236,288,442.970454
302.975705,288,453.5294
81.322484,288,463.751389
57.072721,288,474.024435
144.590058,288,484.359641
123.381826,288,495.000926
142.267906,288,505.628085
102.864749,288,515.906574
64.168623,288,526.543739
532.589184,288,536.728373
72.806917,288,547.285718
273.386464,288,557.816206
114.160647,288,568.103077
227.846424,288,578.315006
68.370656,288,588.536936
138.970769,288,598.819628
54.581392,288,609.624969
38.356926,288,619.447443
342.325141,288,630.015064
468.887127,288,640.560809
19.826032,288,650.916358
298.802154,288,661.536348
154.774283,288,672.400788
202.102314,288,682.890697
147.493165,288,693.454305
154.317781,288,708.593344
123.766862,288,719.352419
252.574134,288,730.094805
143.902058,288,740.652704
6.114755,288,751.201435
187.383134,288,761.782787
239.543772,288,772.676518
260.954943,288,783.284335
140.651192,288,794.041388
278.087904,288,804.583734
249.849982,288,815.06069
2.739235,288,826.373586
257.426758,288,837.053105
250.156779,288,847.753381
251.046855,288,858.205442
201.647944,288,868.928801
56.121372,288,879.468181
243.347206,288,889.619643
266.997879,288,899.815726
284.877964,288,913.304746
-7.975361,288,923.484739
251.081609,288,934.249051
267.664411,288,944.399664
32.329067,288,954.513581
5.132793,288,964.769942
256.038318,288,975.211208
345.556479,288,985.742992
209.301375,288,996.19915
251.111294,288,1006.343351
15.514238,288,1016.47221
234.056585,288,1026.861744
216.560032,288,1036.727651
161.173723,288,1047.215651
33.979,288,1057.38653
437.260605,288,1067.636496
298.039543,288,1084.180205
199.134589,288,1094.907611
172.738012,288,1105.25231
131.181035,288,1115.608989
207.942908,288,1126.010568
141.08912,288,1136.341561
279.950007,288,1147.400955
85.346985,288,1157.784044
183.86539,288,1168.174574
364.964795,288,1178.543532
29.627537,288,1188.908247
37.885974,288,1199.513098
143.535655,288,1210.207632
28.240535,288,1220.705151
5.162296,288,1231.447454
9.97704,288,1241.999084
221.098932,288,1252.772556
190.648223,288,1263.25376
196.553983,288,1274.13901
345.325302,288,1284.722731
349.542587,288,1295.216227
192.192252,288,1305.851397
403.543502,288,1316.27065
112.995351,288,1326.958493
190.304624,288,1337.343595
213.532251,288,1347.731394
114.083517,288,1358.548488
22.970013,288,1369.023546
65.81961,288,1379.401528
234.472521,288,1390.271185
75.308525,288,1400.633484
200.190521,288,1411.240753
157.185132,288,1422.530017
170.730203,288,1433.26088
93.662245,288,1448.047279
145.315533,288,1458.783049
226.922715,288,1469.524928
214.125166,288,1480.037727
322.075409,288,1490.414585
96.064421,288,1500.824791
109.431554,288,1511.50187
114.721152,288,1522.170635
213.949198,288,1532.60775
409.05192,288,1542.864869
221.38201,288,1553.122143
205.378893,288,1563.598525
129.993277,288,1574.052732
202.373786,288,1584.417612
37.514739,288,1594.693576
289.643992,288,1604.897518
396.066224,288,1615.060314
229.24807,288,1625.769543
191.896298,288,1636.054814
419.794092,288,1646.470937
264.598923,288,1656.762378
263.273664,288,1667.0339
137.738793,288,1677.477802
109.229141,288,1688.096453
167.752475,288,1698.421348
94.887801,288,1708.720071
258.303126,288,1719.037936
205.212749,288,1729.833529
320.058651,288,1740.398875
75.685147,288,1750.81263
88.88774,288,1761.236148
189.571393,288,1771.625251
241.720675,288,1782.318389
79.565036,288,1792.819376
139.431719,288,1803.693758
303.099092,288,1818.553621
213.700483,288,1829.189131
163.309016,288,1840.525301
135.407353,288,1851.500674
213.058325,288,1862.253218
15.725177,288,1873.119381
180.951348,288,1884.023535
250.667429,288,1895.164216
331.837776,288,1905.827501
167.701012,288,1916.60073
183.225769,288,1927.577596
20.581644,288,1938.346938
52.461537,288,1949.281087
319.351347,288,1959.932772
253.25922,288,1970.725154
125.667291,288,1981.792135
98.249573,288,1992.584731
268.433906,288,2003.573677
238.094119,288,2014.18483
228.930629,288,2025.813013
196.185996,288,2036.835705
22.997705,288,2047.466843
290.848661,288,2058.34102
91.446482,288,2068.844655
349.08204,288,2079.37483
65.431723,288,2089.921131
542.006652,288,2100.712741
358.648939,288,2111.703573
59.005066,288,2122.24594
83.235407,288,2132.920597
354.942845,288,2143.411148
147.352261,288,2154.196505
360.249752,288,2165.080687
118.838281,288,2175.729599
355.444675,288,2186.457325
246.513637,288,2201.279663
267.354304,288,2212.16682
192.027653,288,2223.102736
210.658204,288,2233.62187
34.874852,288,2244.117956
103.746946,288,2254.619598
262.102254,288,2265.055931
48.966743,288,2275.569081
-32.222524,288,2286.153428
93.457684,288,2296.856114
152.746226,288,2307.398292
640.859536,288,2317.934281
297.918863,288,2329.39364
217.014242,288,2340.247034
141.340958,288,2351.043915
