#{"t_start": 1781277298.3139687, "env_id": "None"}
r,l,t
-21.382767,288,5.29343
-51.7406,288,5.913635
24.031869,288,6.533821
-39.559361,288,7.24993
-39.593953,288,7.91451
-14.154571,288,8.560735
-15.597509,288,9.173735
7.428418,288,14.604373
-0.244788,288,15.213561
-27.819655,288,15.821726
26.123583,288,16.43107
-16.699938,288,17.035091
-16.725323,288,17.700413
38.512632,288,18.377827
55.929932,288,27.794709
91.014668,288,28.413669
-6.194673,288,29.020818
116.398036,288,29.636961
13.648527,288,30.35691
-1.793237,288,30.994576
-17.299253,288,31.601322
117.623483,288,37.298622
22.285679,288,37.905961
3.227211,288,38.533381
91.072838,288,39.228456
20.014274,288,39.944819
47.371696,288,40.635007
32.449411,288,41.278025
10.2183,288,50.593199
57.117834,288,51.296449
62.551409,288,51.932639
0.195236,288,52.533242
57.021049,288,53.135815
102.051982,288,53.731377
45.135758,288,54.352104
51.525391,288,59.192574
7.242854,288,59.803726
131.589362,288,60.407802
76.963273,288,61.007331
97.015604,288,61.632052
160.198597,288,62.329259
55.530962,288,62.945424
43.626281,288,72.235486
89.302194,288,72.838619
36.090762,288,73.443225
100.378081,288,74.049481
122.354408,288,74.661923
93.900416,288,75.360617
178.618948,288,76.016276
67.229912,288,80.863678
19.883123,288,81.506357
90.542129,288,82.112205
159.696132,288,82.725317
102.421195,288,83.336079
69.315982,288,83.941157
79.587086,288,84.545073
83.750474,288,93.768544
36.012828,288,94.378757
156.790933,288,94.989917
96.385396,288,95.603215
78.578749,288,96.216436
67.930747,288,96.828834
61.8393,288,97.455299
69.514534,288,98.07994
104.873008,288,103.033299
99.097958,288,103.649461
116.28348,288,104.262829
85.440592,288,104.943569
197.332043,288,105.614074
76.522158,288,106.232034
145.554638,288,106.842547
198.981401,288,116.179799
93.627513,288,116.789888
135.042275,288,117.401594
38.624141,288,118.007717
82.025333,288,118.62044
30.959791,288,119.230981
89.618082,288,119.935921
75.57832,288,124.766932
192.643987,288,125.476992
97.586124,288,126.117966
78.576884,288,126.731802
122.899559,288,127.338502
202.773988,288,127.948222
196.454586,288,128.578989
100.331431,288,137.844661
49.723047,288,138.45706
69.790826,288,139.07158
87.063874,288,139.688107
88.466256,288,140.306812
131.054026,288,140.912383
51.5958,288,141.52554
167.893318,288,146.471496
172.349516,288,147.090961
154.471741,288,147.706146
108.512525,288,148.321477
121.90607,288,148.937645
110.014269,288,149.65848
130.189103,288,150.316071
30.613806,288,159.714927
107.047422,288,160.365256
111.679938,288,161.016603
78.028965,288,161.629493
90.604008,288,162.25803
108.556285,288,162.880395
70.91166,288,163.495776
88.358981,288,168.437233
76.040354,288,169.057522
144.501574,288,169.662754
68.033334,288,170.26879
88.418574,288,170.998963
102.844633,288,171.672773
63.296257,288,172.281164
115.736171,288,181.55835
131.434598,288,182.17582
79.834,288,182.788251
86.098718,288,183.399917
79.104395,288,184.003127
94.214125,288,184.62027
188.249672,288,185.225015
127.039133,288,190.158999
201.34402,288,190.766002
84.165437,288,191.377928
192.535957,288,191.986102
77.211002,288,192.598068
130.333191,288,193.212581
46.11307,288,193.836147
123.908904,288,194.484375
120.869861,288,203.954905
162.969004,288,204.567403
116.107937,288,205.185797
92.471307,288,205.801347
90.261712,288,206.409828
109.026151,288,207.021074
65.69194,288,207.631423
39.648855,288,212.564667
101.808405,288,213.172328
101.184143,288,213.779997
125.442098,288,214.399201
125.849322,288,215.01147
59.918244,288,215.622607
182.306313,288,216.22391
79.808129,288,225.399692
110.504544,288,226.007924
90.609423,288,226.61283
97.571779,288,227.223521
78.668733,288,227.928709
95.308627,288,228.563421
87.520158,288,229.167537
116.921379,288,234.00369
98.596082,288,234.617486
108.950506,288,235.233589
97.400612,288,235.834514
98.633205,288,236.43712
136.277191,288,237.035253
83.412887,288,237.645285
194.255645,288,246.96572
92.058577,288,247.560278
96.297596,288,248.162916
94.324445,288,248.764667
92.937314,288,249.364064
144.694426,288,250.067485
117.5833,288,250.700178
157.991669,288,255.551686
147.898838,288,256.171857
85.118809,288,256.763706
120.139964,288,257.360375
37.286162,288,257.959164
48.151814,288,258.556408
153.757119,288,259.134374
108.183907,288,267.584852
85.520354,288,268.179842
93.061147,288,268.775512
94.41273,288,269.402867
112.621308,288,270.003867
65.017531,288,270.693844
79.397187,288,271.326345
136.146934,288,276.109317
128.239632,288,276.751196
83.99806,288,277.354384
133.211673,288,277.959391
103.551758,288,278.559455
137.598949,288,279.164076
195.173047,288,279.783733
165.037342,288,288.966072
73.454826,288,289.565456
83.33406,288,290.16255
75.093248,288,290.762017
90.078065,288,291.360724
84.6209,288,291.954447
155.164508,288,292.549604
160.30483,288,293.149327
86.182447,288,298.028037
168.277648,288,298.633337
77.605168,288,299.225436
161.449168,288,299.824849
158.913865,288,300.422443
87.20514,288,301.023155
92.784203,288,301.617594
151.761994,288,310.773237
187.494123,288,311.378802
125.374937,288,311.975842
113.173985,288,312.576841
107.886084,288,313.175647
197.201405,288,313.773105
155.843063,288,314.374918
98.226478,288,319.242515
103.441822,288,319.849537
118.377119,288,320.450779
129.033024,288,321.057364
89.945006,288,321.656347
91.796297,288,322.260485
81.94391,288,322.959836
154.064787,288,332.217213
99.904619,288,332.819109
108.905738,288,333.42399
73.635234,288,334.04019
122.920694,288,334.796169
109.67698,288,335.43578
136.662126,288,336.048811
142.785346,288,340.995939
86.743513,288,341.6003
95.622737,288,342.208168
168.423761,288,342.813881
163.324254,288,343.41956
89.470366,288,344.034002
177.212383,288,344.650615
103.198274,288,353.965319
73.990816,288,354.582602
142.517279,288,355.211259
116.198409,288,355.826346
82.156461,288,356.432419
100.496285,288,357.03882
140.771951,288,357.648089
85.17435,288,362.541627
108.499138,288,363.150886
175.277272,288,363.754198
205.930308,288,364.35599
90.980348,288,365.156291
151.794381,288,365.795352
92.798622,288,366.401704
108.398631,288,375.48206
43.744778,288,376.096001
85.408689,288,376.709056
135.09729,288,377.323551
146.8113,288,377.998824
157.716877,288,378.661532
76.100398,288,379.264558
80.013551,288,384.10831
69.829813,288,384.71096
88.317509,288,385.321819
90.439674,288,385.919946
143.997875,288,386.523656
129.387821,288,387.122448
85.508489,288,387.728781
73.07107,288,388.325006
117.551452,288,397.621367
98.495993,288,398.227078
67.817392,288,398.82852
143.783512,288,399.438546
102.636159,288,400.051526
86.665559,288,400.650282
70.922241,288,401.293105
85.74759,288,406.127041
90.746883,288,406.811655
127.321522,288,407.449019
90.498291,288,408.055132
64.314991,288,408.657786
174.451487,288,409.257004
137.594161,288,409.853822
65.956849,288,418.89547
87.059282,288,419.49935
76.56919,288,420.095565
58.306874,288,420.696965
122.502697,288,421.394593
106.107917,288,422.030021
113.567205,288,422.632017
51.902628,288,427.479346
100.258233,288,428.07682
125.918158,288,428.680685
29.206566,288,429.283067
82.561252,288,429.88798
131.608203,288,430.491676
91.069589,288,431.086237
43.00738,288,439.819217
128.467775,288,440.435475
82.102371,288,440.992179
94.280819,288,441.527637
132.512764,288,442.074088
143.46985,288,442.683609
137.66642,288,443.311937
63.822791,288,448.315648
109.764029,288,448.919917
38.80817,288,449.524328
54.068564,288,450.133001
