#{"t_start": 1781271780.1351507, "env_id": "None"}
r,l,t
-17.610133,288,4.815171
26.153171,288,5.513183
-50.340556,288,6.205701
-60.083889,288,6.994537
-27.125653,288,7.72518
3.565472,288,8.429484
-14.873973,288,9.112878
23.594357,288,14.334387
8.797069,288,14.988426
16.809953,288,15.639372
47.849779,288,16.284254
-11.434708,288,16.93346
-17.625126,288,17.56998
57.667733,288,18.216564
48.591746,288,28.582614
38.642555,288,29.226677
44.238689,288,29.904883
75.52711,288,30.557927
-6.218711,288,31.204365
8.647069,288,31.838992
5.45772,288,32.486289
65.682904,288,37.761146
48.14457,288,38.407737
91.364681,288,39.078231
28.254731,288,39.957773
119.818519,288,40.650331
44.602724,288,41.326976
49.357579,288,41.978352
14.049396,288,52.073058
17.849106,288,52.724983
36.206557,288,53.37834
139.24082,288,54.144166
118.433654,288,54.828146
108.124114,288,55.478446
86.561356,288,56.12658
66.482667,288,61.466355
34.432069,288,62.124902
131.849316,288,62.764496
81.450196,288,63.413771
105.618638,288,64.0576
62.91808,288,64.697844
62.920579,288,65.396106
122.542312,288,75.466116
100.360898,288,76.135501
70.662001,288,76.822
85.588935,288,77.504974
111.605294,288,78.181667
105.095764,288,78.938806
52.359859,288,79.598824
73.528548,288,85.009781
123.813972,288,85.654712
64.054606,288,86.297189
64.545937,288,86.949071
148.84228,288,87.607495
26.043802,288,88.244035
66.678519,288,88.880774
118.494206,288,98.667754
67.081425,288,99.317039
89.4714,288,99.958314
62.565857,288,100.612431
86.018053,288,101.378432
25.223475,288,102.033999
129.091912,288,102.681803
65.117233,288,103.322139
72.564519,288,108.523386
150.216705,288,109.171893
90.877525,288,109.80626
36.745697,288,110.448089
79.647317,288,111.0814
50.251827,288,111.74155
72.209357,288,112.417628
163.683104,288,122.363741
77.723778,288,123.010139
144.117442,288,123.672671
44.183041,288,124.323541
103.669362,288,124.973524
44.937018,288,125.609147
94.472977,288,126.248297
159.626697,288,131.465341
127.419646,288,132.111152
75.228887,288,132.749292
111.517727,288,133.621593
75.543896,288,134.303002
153.320277,288,134.955506
47.089184,288,135.590988
97.050326,288,145.388541
89.148711,288,146.040108
60.665187,288,146.695128
100.308486,288,147.470097
83.6158,288,148.145772
185.103989,288,148.811647
36.581266,288,149.464588
81.809169,288,155.638954
19.140032,288,156.281536
141.909638,288,156.931823
108.051017,288,157.584795
140.352824,288,158.232171
91.622439,288,158.877249
102.119018,288,159.492707
28.62295,288,168.766626
106.476934,288,169.404962
94.232983,288,170.059579
120.047244,288,170.705132
33.649161,288,171.350598
97.466008,288,171.992835
176.24184,288,172.653418
85.591319,288,177.88142
99.535627,288,178.535695
137.040618,288,179.172479
85.511778,288,179.827642
87.905298,288,180.483634
14.118315,288,181.12608
104.202431,288,181.775501
120.05643,288,191.899699
65.483941,288,192.552279
151.674206,288,193.207087
77.422037,288,193.881098
68.261553,288,194.516421
141.257301,288,195.169713
78.21792,288,195.81621
27.9993,288,201.037031
48.123747,288,201.678038
64.389662,288,202.321584
47.803544,288,202.955503
132.161443,288,203.600312
71.186186,288,204.249464
191.662977,288,204.901438
50.992177,288,205.541326
105.941536,288,215.308639
106.797899,288,215.950216
184.930503,288,216.599119
86.631531,288,217.346752
121.342575,288,218.014616
74.50763,288,218.64942
60.749233,288,219.290206
150.243099,288,224.597848
161.948995,288,225.241456
29.027445,288,225.88027
83.74705,288,226.519405
39.223971,288,227.164189
78.175486,288,227.796453
54.805309,288,228.447927
55.894968,288,238.587542
143.006089,288,239.233315
69.368517,288,239.884649
73.233776,288,240.538625
61.986459,288,241.189758
70.056574,288,241.83518
96.47219,288,242.498293
73.717247,288,247.781597
73.577901,288,248.436291
90.567036,288,249.085477
122.645993,288,249.837312
106.352198,288,250.514836
88.788598,288,251.165888
25.177671,288,251.813689
88.702845,288,261.70075
133.597131,288,262.358868
96.794701,288,263.008229
100.825419,288,263.780331
175.758257,288,264.470466
91.737954,288,265.124276
79.327086,288,265.777889
68.706625,288,271.015316
130.264954,288,271.66406
59.719845,288,272.316798
133.025806,288,272.965925
74.462064,288,273.616794
76.335535,288,274.278849
95.050543,288,274.934361
57.808692,288,285.105325
72.908928,288,285.761282
107.42593,288,286.41749
59.447382,288,287.093339
57.171603,288,287.790735
61.402033,288,288.568319
97.350685,288,289.25362
133.597503,288,294.636616
121.81371,288,295.304414
69.086452,288,295.954669
55.696045,288,296.6178
64.809381,288,297.273093
73.156457,288,297.930788
43.999797,288,298.604148
77.406391,288,308.610867
69.015868,288,309.28142
134.632055,288,309.94344
82.067162,288,310.637573
77.191699,288,311.420381
80.479233,288,312.068079
112.619405,288,312.733477
71.370265,288,313.401061
146.929379,288,318.837036
90.679117,288,319.52692
75.84912,288,320.189566
79.561042,288,320.848553
26.823513,288,321.511962
54.815664,288,322.178939
30.307617,288,322.848741
77.541124,288,333.233101
146.811189,288,333.906353
35.719906,288,334.5951
105.175639,288,335.259505
102.04198,288,335.918553
50.888062,288,336.583477
47.275338,288,337.247122
82.193197,288,342.664776
62.666095,288,343.32378
82.713608,288,344.022969
29.825113,288,344.780855
188.323059,288,345.470736
64.175337,288,346.133654
73.473228,288,346.794764
129.847725,288,356.944394
83.204175,288,357.624498
63.716121,288,358.311244
66.370432,288,359.116796
191.414362,288,359.808625
93.567652,288,360.490834
67.997326,288,361.164274
65.185238,288,366.569235
90.434048,288,367.246629
50.730858,288,367.910611
81.409658,288,368.572204
76.420416,288,369.235379
70.403875,288,369.906367
126.660853,288,370.5753
123.743146,288,380.937149
72.298828,288,381.603837
71.273906,288,382.278832
75.803516,288,382.954666
29.330804,288,383.61905
22.906943,288,384.28792
80.632425,288,384.955843
80.63666,288,390.346291
145.020889,288,391.022861
127.663819,288,391.686615
75.939758,288,392.459962
66.956809,288,393.163652
64.630498,288,393.83616
57.909449,288,394.503633
60.936671,288,404.600452
73.737961,288,405.254944
60.059001,288,405.924844
75.426894,288,406.599649
131.643854,288,407.385555
61.96943,288,408.106541
20.096668,288,408.779184
32.323239,288,414.133027
88.1038,288,414.79657
80.384016,288,415.452551
95.848417,288,416.108267
64.713474,288,416.713816
94.942116,288,417.292031
75.099574,288,417.920994
123.873434,288,418.562538
71.68477,288,428.2216
91.574867,288,429.031363
55.860722,288,429.714136
45.472781,288,430.379798
69.903949,288,431.030285
87.978963,288,431.669143
106.03173,288,432.327828
39.039673,288,437.673225
61.838473,288,438.331021
77.342812,288,438.984678
118.11266,288,439.773438
55.824333,288,440.464272
87.505134,288,441.059136
95.690241,288,441.615715
65.470553,288,450.985833
93.074936,288,451.6514
166.981353,288,452.345801
114.747334,288,453.012123
76.675984,288,453.683267
165.271991,288,454.437874
72.666508,288,455.123951
68.952203,288,460.541291
60.352642,288,461.233194
91.352339,288,461.937392
74.508097,288,462.900623
63.471968,288,463.605547
48.679398,288,464.258952
176.162382,288,464.907928
77.294729,288,474.996024
62.970983,288,475.644593
63.008077,288,476.308526
62.396312,288,477.078804
91.739986,288,477.77447
112.193644,288,478.421468
79.499894,288,479.090954
85.038846,288,484.485713
78.28027,288,485.138729
85.26752,288,485.814622
123.677295,288,486.486183
101.234115,288,487.162844
86.258048,288,487.841318
79.666546,288,488.509788
65.260629,288,498.823402
151.713091,288,499.485174
64.450685,288,500.145504
24.095668,288,500.806574
88.938299,288,501.46307
126.285365,288,502.127274
71.499856,288,502.783974
65.084019,288,508.035988
47.959128,288,508.794059
151.405557,288,509.476706
139.534589,288,510.127665
87.076257,288,510.787569
81.770193,288,511.43512
154.794583,288,512.073237
105.168522,288,522.012535
104.558108,288,522.652259
124.718356,288,523.308663
59.047239,288,524.037117
125.212181,288,524.7698
67.195943,288,525.408606
93.045363,288,526.057303
76.421462,288,526.712061
76.179299,288,531.988205
71.351331,288,532.640546
109.501978,288,533.297438
74.751577,288,533.959171
88.904904,288,534.625376
101.000183,288,535.276013
93.584752,288,535.927643
85.778528,288,545.98441
79.412207,288,546.637164
101.765735,288,547.292492
136.890564,288,547.932489
27.712058,288,548.59314
85.960876,288,549.245627
85.901285,288,549.891948
140.7493,288,555.143516
102.572975,288,555.795799
86.875982,288,556.451861
72.133577,288,557.208482
88.473885,288,557.884415
85.203595,288,558.538642
110.505871,288,559.181814
63.094868,288,569.233014
79.086924,288,569.884099
87.099772,288,570.535909
156.852149,288,571.189225
83.366446,288,571.978597
59.530355,288,572.64376
65.549269,288,573.319819
92.769562,288,578.57685
61.881767,288,579.223212
77.719131,288,579.872188
107.959943,288,580.529836
32.810903,288,581.177347
129.615304,288,581.839093
70.564204,288,582.483225
70.91531,288,592.432213
76.624933,288,593.180935
114.322447,288,593.838385
49.836725,288,594.492139
51.242336,288,595.140627
77.323059,288,595.788396
37.734002,288,596.430615
53.701238,288,601.72362
70.096048,288,602.380292
74.043178,288,603.042241
140.908947,288,603.8137
79.179257,288,604.513811
100.485891,288,605.165998
104.846845,288,605.814139
67.14702,288,615.745001
45.848954,288,616.391272
134.56135,288,617.039888
84.564597,288,617.70302
75.776388,288,618.360665
109.989669,288,619.126129
134.46259,288,619.812495
96.938221,288,625.14241
126.956062,288,625.789436
39.650064,288,626.434286
154.779374,288,627.085627
62.597461,288,627.741333
56.973347,288,628.431455
75.051863,288,629.197508
37.364143,288,629.886862
43.253623,288,639.852381
65.326752,288,640.509589
111.837014,288,641.16593
35.095525,288,641.823358
108.827126,288,642.471173
69.389495,288,643.122004
124.648112,288,643.773438
153.248033,288,649.076536
38.674721,288,649.744462
65.21264,288,650.396146
174.495959,288,651.177025
88.101265,288,651.969487
50.597139,288,652.774048
92.254683,288,653.439959
74.233125,288,663.354255
88.49745,288,664.007638
58.755333,288,664.668812
95.430231,288,665.330646
84.074219,288,665.988114
85.66003,288,666.702971
89.192251,288,667.58727
168.502904,288,672.886843
68.461846,288,673.581733
79.028833,288,674.242399
89.492352,288,674.898249
67.846501,288,675.553866
153.951559,288,676.211395
83.640258,288,676.868257
78.933551,288,687.056652
135.957749,288,687.731243
74.539142,288,688.422558
104.049915,288,689.10651
123.134409,288,689.782525
62.584558,288,690.460822
88.777739,288,691.153981
119.352767,288,696.508232
96.919095,288,697.153874
120.488658,288,697.801549
69.166036,288,698.460293
116.39239,288,699.119679
