#{"t_start": 1781282974.3316898, "env_id": "None"}
r,l,t
45.320139,288,7.027353
9.364891,288,7.873382
71.094578,288,8.625402
0.650409,288,9.407968
38.122959,288,10.171253
1.806875,288,10.859746
-0.133215,288,11.513864
-16.348765,288,17.175761
43.563164,288,17.885861
-9.807773,288,18.70784
17.45191,288,19.500443
-50.350905,288,20.394759
0.643126,288,21.361141
67.809752,288,22.3302
25.6093,288,34.52339
17.036089,288,35.53063
39.794688,288,36.384154
136.308336,288,37.158324
-1.386222,288,37.966576
69.681305,288,38.710063
11.952086,288,39.533694
53.247717,288,46.689277
39.922863,288,47.628837
30.838744,288,48.531646
109.841435,288,49.304742
20.977969,288,50.112471
40.284707,288,51.030078
81.015065,288,51.839932
34.040928,288,63.481718
97.985181,288,64.276236
57.412618,288,65.074327
129.449883,288,65.851434
87.030033,288,66.593659
137.684667,288,67.560232
19.98623,288,71.265848
120.1182,288,93.384888
81.68808,288,94.7678
120.19648,288,96.258724
108.962863,288,97.530253
62.805843,288,98.789505
89.710791,288,99.994232
65.181283,288,101.266289
74.279236,288,115.950945
101.879311,288,116.942538
101.104882,288,117.831092
62.109161,288,118.682251
15.254242,288,119.849614
121.505498,288,120.827246
75.606699,288,121.794562
83.664759,288,129.399632
155.378424,288,130.380613
72.831682,288,131.391046
82.796689,288,132.356847
101.471696,288,133.424803
186.303358,288,134.416763
73.974061,288,135.623179
107.922314,288,151.124216
43.397801,288,152.201098
186.590422,288,153.172379
29.195746,288,154.070091
49.653991,288,155.142241
139.850242,288,156.155727
73.696565,288,157.168003
104.490204,288,158.200787
105.769648,288,165.897207
146.2055,288,166.876543
90.24111,288,167.78491
75.508389,288,168.773483
83.453936,288,169.75163
105.53421,288,170.744334
113.570362,288,171.739945
82.546156,288,185.689288
123.814519,288,186.698697
139.949843,288,187.707156
33.99878,288,188.69594
100.997564,288,189.720784
39.811739,288,190.700435
71.411571,288,191.608958
58.245852,288,198.206559
55.833137,288,199.182408
73.639433,288,200.165706
69.593428,288,201.12754
73.120083,288,201.862
71.456823,288,202.535314
91.629208,288,203.381537
43.884367,288,215.428551
56.079882,288,216.172534
100.443824,288,216.849281
23.44774,288,217.591261
100.045666,288,218.249142
69.865772,288,218.953224
123.116585,288,219.552416
65.275949,288,225.21849
103.730748,288,226.040496
140.641923,288,226.714509
109.656898,288,227.493672
40.691883,288,228.473254
142.867316,288,229.469821
145.233092,288,230.41537
122.475508,288,244.378789
72.681545,288,245.236901
60.204971,288,246.225388
150.575054,288,246.890133
103.054419,288,247.516335
104.833384,288,248.23817
85.067416,288,249.01394
87.443036,288,254.470479
127.600112,288,254.977801
85.625315,288,255.609139
79.12868,288,256.209669
37.636785,288,256.845478
42.452157,288,257.451233
179.46613,288,258.052361
86.405046,288,270.447028
85.16933,288,271.253382
95.11603,288,272.04098
83.412585,288,272.845072
69.209548,288,273.639074
73.422815,288,274.4017
83.592222,288,275.151151
77.74741,288,280.948676
122.604892,288,281.69835
143.08387,288,282.53412
93.576649,288,283.335898
169.95431,288,284.04688
138.947858,288,284.916847
119.606423,288,285.799523
74.599229,288,286.774097
119.002483,288,298.375717
59.840682,288,299.062388
74.493481,288,299.909899
166.765241,288,300.716337
74.910575,288,301.452173
128.022079,288,302.161748
82.968228,288,302.873093
90.147227,288,309.52229
97.031553,288,310.384963
54.708345,288,311.347727
58.736432,288,312.402564
75.225437,288,313.381027
47.817944,288,314.390141
111.946275,288,315.37187
85.724403,288,328.311572
139.373088,288,329.344494
130.350729,288,330.325655
136.339066,288,331.306301
153.300493,288,332.29123
121.635082,288,333.224775
121.078799,288,334.163265
76.199205,288,341.275089
119.7162,288,341.951396
71.240925,288,342.588763
173.735422,288,343.184506
71.912961,288,343.892943
144.803243,288,344.488381
107.604235,288,345.231101
206.202106,288,355.836085
90.226786,288,356.967262
107.613518,288,358.676953
97.437884,288,359.59097
180.346151,288,360.53108
131.449599,288,361.511704
130.392684,288,362.439896
66.594682,288,369.979542
83.735277,288,370.962991
91.887493,288,371.926721
86.323107,288,372.871804
96.942154,288,373.85547
122.900092,288,374.833858
155.146891,288,375.806622
168.594287,288,388.729247
122.094891,288,389.609511
97.462049,288,390.396646
121.120999,288,391.332407
86.11826,288,392.293811
65.363911,288,393.295112
42.725776,288,394.263821
64.226196,288,401.863224
122.471499,288,402.717097
61.869028,288,403.613206
91.089667,288,404.457061
78.439716,288,405.684026
77.721323,288,406.643305
116.782004,288,407.630632
184.040195,288,421.622534
99.023497,288,422.571357
80.897754,288,423.192195
103.677827,288,423.7567
63.973551,288,424.322057
115.856403,288,424.901798
164.32391,288,425.465223
37.055102,288,426.206958
166.468981,288,432.536277
86.607818,288,433.299869
93.778522,288,434.027288
83.066556,288,435.194026
85.523144,288,436.123784
189.577243,288,436.985936
101.362623,288,437.768809
114.59086,288,450.668436
82.043676,288,451.700599
69.172682,288,452.732705
187.696912,288,453.798793
63.75498,288,454.831864
182.486037,288,455.80455
83.103248,288,456.465266
185.207892,288,463.693271
56.258312,288,464.713102
63.74274,288,465.735329
135.24409,288,466.760641
89.59484,288,467.824946
141.599411,288,468.917708
78.516213,288,470.165886
74.217773,288,484.238434
96.549665,288,485.02976
83.058041,288,485.809029
82.579612,288,486.52575
143.127159,288,487.218762
116.410863,288,487.924032
107.740212,288,488.637854
116.334493,288,494.941354
76.415466,288,495.929751
177.602397,288,496.90858
74.256326,288,497.881677
176.960962,288,498.817674
155.282413,288,499.790003
186.235742,288,500.76802
172.087684,288,512.075837
51.927849,288,512.626689
81.438259,288,513.189826
199.983075,288,513.749809
91.176128,288,514.305183
73.292205,288,514.88569
96.826553,288,515.480495
126.973328,288,519.873839
136.983151,288,520.437905
93.699884,288,521.021477
78.986389,288,521.587276
121.936554,288,522.141047
81.576877,288,522.695937
69.372689,288,523.251487
94.587927,288,531.698784
118.018209,288,532.287338
91.955852,288,532.881625
98.989865,288,533.467616
125.822272,288,534.041599
95.198403,288,534.615424
86.30672,288,535.188158
120.699061,288,539.617656
144.31853,288,540.187842
72.837766,288,540.766685
88.792148,288,541.335799
44.544161,288,541.916934
88.9388,288,542.485068
34.492756,288,543.058046
73.515607,288,543.625425
82.348208,288,552.089197
168.674513,288,552.654775
86.858481,288,553.226706
108.790335,288,553.806061
78.377162,288,554.385231
78.154967,288,554.948656
93.197876,288,555.513966
93.702871,288,560.101851
79.063547,288,560.674839
178.57582,288,561.236632
39.57497,288,561.806941
105.334022,288,562.375681
86.549861,288,562.977661
92.430603,288,563.548916
131.686393,288,572.000694
71.579899,288,572.575649
154.74665,288,573.152675
202.286411,288,573.72977
79.272981,288,574.302272
161.496924,288,574.874502
49.164973,288,575.442374
90.180862,288,579.880085
77.167554,288,580.458571
70.520832,288,581.033526
157.319489,288,581.613636
89.37351,288,582.187397
113.190678,288,582.752666
25.163955,288,583.336525
91.782653,288,591.892416
44.712276,288,592.470318
