#{"t_start": 1781509756.8393154, "env_id": "None"}
r,l,t
-12.62688,288,4.775566
-12.403051,288,5.06956
-24.134153,288,5.35032
10.229945,288,14.60599
99.75789,288,32.339302
44.553824,288,50.222586
136.853922,288,68.758601
35.314844,288,87.094769
89.505349,288,105.79832
57.444371,288,124.649033
131.142182,288,143.233143
71.500197,288,162.057283
28.877666,288,181.329767
123.624705,288,200.534462
196.404999,288,219.676021
52.850998,288,238.61755
35.10293,288,257.752053
167.351977,288,281.946823
4.190821,288,301.050607
112.318919,288,319.870201
130.245883,288,338.838147
126.084853,288,357.721687
56.5373,288,375.61081
118.104265,288,394.543873
144.708167,288,414.024461
123.969947,288,432.726567
55.943449,288,451.672115
65.244844,288,469.998453
94.403694,288,488.266651
81.947534,288,506.372103
130.169925,288,524.511368
210.014457,288,543.034105
45.384748,288,561.52145
143.134741,288,579.277914
114.984353,288,602.81808
132.688385,288,621.418163
111.518748,288,639.587479
165.853639,288,658.162939
139.425686,288,676.72853
104.972536,288,694.999197
178.18455,288,713.781484
32.733974,288,732.325666
136.409711,288,751.15811
67.032975,288,770.054834
146.329388,288,789.027587
88.824977,288,808.468764
116.081381,288,827.520809
109.31567,288,846.547922
131.154729,288,865.822244
112.665341,288,884.792031
92.627488,288,903.715891
118.875183,288,922.827859
147.534985,288,947.260476
145.059342,288,966.340168
210.857071,288,985.514292
137.028156,288,1004.247244
65.161844,288,1023.974957
66.577221,288,1042.966001
197.963377,288,1061.329165
47.202267,288,1080.130769
62.396102,288,1099.098162
171.888806,288,1117.058454
65.297238,288,1136.112089
116.928515,288,1153.202951
107.785318,288,1171.131433
195.783308,288,1189.615637
134.704484,288,1207.093882
58.541051,288,1223.875163
130.747036,288,1240.537337
156.008945,288,1262.229018
154.78703,288,1278.907839
140.763829,288,1295.648277
191.46661,288,1312.511747
212.822262,288,1329.48015
117.927792,288,1346.578434
107.414532,288,1363.625491
115.567909,288,1380.127229
126.118219,288,1396.536138
79.962137,288,1413.211571
89.29301,288,1430.513794
54.74399,288,1447.719878
94.220441,288,1464.816955
54.382396,288,1482.145471
61.608405,288,1499.765261
55.265312,288,1517.198375
56.133892,288,1534.506184
62.246437,288,1557.153192
88.71185,288,1574.228886
56.110171,288,1591.403218
167.936511,288,1608.49632
88.237481,288,1625.874398
122.210024,288,1642.718298
110.470551,288,1659.694551
110.877756,288,1676.210904
135.678796,288,1692.769488
114.189584,288,1709.191794
59.942764,288,1725.448689
166.910456,288,1742.380497
132.880476,288,1760.098679
144.647118,288,1776.919201
138.966383,288,1794.174612
81.838682,288,1810.821325
144.361105,288,1828.122189
154.256615,288,1845.462769
174.125736,288,1866.814082
131.495836,288,1884.086984
67.135756,288,1901.480312
158.916264,288,1918.851665
139.029917,288,1935.943851
83.839698,288,1952.870572
101.829787,288,1969.731859
93.831667,288,1986.336446
135.787898,288,2003.014256
123.368669,288,2019.71606
138.695288,288,2040.076706
80.788608,288,2060.376829
56.118489,288,2079.691047
65.629661,288,2099.041583
126.861582,288,2117.868851
141.798322,288,2137.24352
85.657204,288,2156.23202
62.850027,288,2180.79937
185.950688,288,2200.483947
132.53212,288,2220.417436
214.68389,288,2240.503861
183.81024,288,2259.790211
106.178095,288,2279.25768
125.868532,288,2298.959742
